node,neighbor,spl
0,1,2
0,2,3
0,3,3
0,4,3
0,5,3
1,0,2
1,2,2
1,3,3
1,4,2
1,5,3
2,0,3
2,1,2
2,3,2
2,4,2
2,5,3
3,0,3
3,1,3
3,2,2
3,4,2
3,5,2
3,6,2
4,1,2
4,2,2
4,3,2
4,5,3
4,6,3
4,7,1
5,2,3
5,3,2
5,4,3
5,6,2
5,7,2
5,8,3
6,3,2
6,4,3
6,5,2
6,7,2
6,8,2
6,9,2
7,4,1
7,5,2
7,6,2
7,8,3
7,9,3
7,10,3
8,5,3
8,6,2
8,7,3
8,9,2
8,10,3
8,11,3
9,6,2
9,7,3
9,8,2
9,10,2
9,11,1
9,12,2
10,7,3
10,8,3
10,9,2
10,11,1
10,12,3
10,13,3
11,8,3
11,9,1
11,10,1
11,12,3
11,13,3
11,14,3
12,9,2
12,10,3
12,11,3
12,13,2
12,14,3
12,15,3
13,10,3
13,11,3
13,12,2
13,14,2
13,15,3
13,16,3
14,11,3
14,12,3
14,13,2
14,15,3
14,16,2
14,17,3
15,12,3
15,13,3
15,14,3
15,16,2
15,17,1
15,18,2
16,13,3
16,14,2
16,15,2
16,17,1
16,18,3
16,19,2
17,14,3
17,15,1
17,16,1
17,18,2
17,19,2
17,20,2
18,15,2
18,16,3
18,17,2
18,19,3
18,20,2
18,21,2
19,16,2
19,17,2
19,18,3
19,20,1
19,21,3
19,22,2
20,17,2
20,18,2
20,19,1
20,21,3
20,22,2
20,23,2
21,18,2
21,19,3
21,20,3
21,22,2
21,23,3
21,24,2
22,19,2
22,20,2
22,21,2
22,23,3
22,24,2
22,25,3
23,20,2
23,21,3
23,22,3
23,24,1
23,25,2
23,26,3
24,21,2
24,22,2
24,23,1
24,25,2
24,26,3
24,27,3
25,22,3
25,23,2
25,24,2
25,26,3
25,27,3
25,28,2
26,23,3
26,24,3
26,25,3
26,27,2
26,28,3
26,29,3
27,24,3
27,25,3
27,26,2
27,28,2
27,29,3
27,30,2
28,25,2
28,26,3
28,27,2
28,29,1
28,30,3
28,31,2
29,26,3
29,27,3
29,28,1
29,30,3
29,31,2
29,32,3
30,27,2
30,28,3
30,29,3
30,31,2
30,32,2
30,33,3
31,28,2
31,29,2
31,30,2
31,32,3
31,33,1
31,34,2
32,29,3
32,30,2
32,31,3
32,33,2
32,34,2
32,35,3
33,30,3
33,31,1
33,32,2
33,34,3
33,35,3
33,36,2
34,31,2
34,32,2
34,33,3
34,35,2
34,36,3
34,37,1
35,32,3
35,33,3
35,34,2
35,36,2
35,37,2
35,38,3
36,33,2
36,34,3
36,35,2
36,37,3
36,38,2
36,39,2
37,34,1
37,35,2
37,36,3
37,38,1
37,39,2
37,40,3
38,35,3
38,36,2
38,37,1
38,39,1
38,40,2
38,41,3
39,36,2
39,37,2
39,38,1
39,40,1
39,41,3
39,42,3
40,37,3
40,38,2
40,39,1
40,41,3
40,42,3
40,43,3
41,38,3
41,39,3
41,40,3
41,42,3
41,43,3
41,44,3
42,39,3
42,40,3
42,41,3
42,43,1
42,44,2
42,45,3
43,40,3
43,41,3
43,42,1
43,44,2
43,45,2
43,46,2
44,41,3
44,42,2
44,43,2
44,45,2
44,46,3
44,47,2
45,42,3
45,43,2
45,44,2
45,46,3
45,47,3
45,48,3
46,43,2
46,44,3
46,45,3
46,47,3
46,48,3
46,49,2
47,44,2
47,45,3
47,46,3
47,48,2
47,49,3
48,44,2
48,45,3
48,46,3
48,47,2
48,49,1
49,44,3
49,45,2
49,46,2
49,47,3
49,48,1
