node,extreme,spl
0,49,2
1,0,1
1,49,1
2,0,1
2,49,2
3,0,1
3,49,2
4,0,2
4,49,2
5,0,2
5,49,3
6,0,2
6,49,3
7,0,3
7,49,2
8,0,3
8,49,3
9,0,2
9,49,3
10,0,3
10,49,3
11,0,3
11,49,3
12,0,2
12,49,2
13,0,2
13,49,2
14,0,3
14,49,2
15,0,3
15,49,3
16,0,2
16,49,2
17,0,2
17,49,1
18,0,2
18,49,2
19,0,1
19,49,2
20,0,2
20,49,3
21,0,2
21,49,2
22,0,2
22,49,3
23,0,3
23,49,2
24,0,3
24,49,1
25,0,2
25,49,2
26,0,2
26,49,2
27,0,2
27,49,2
28,0,1
28,49,3
29,0,3
29,49,3
30,0,2
30,49,2
31,0,2
31,49,3
32,0,3
32,49,3
33,0,3
33,49,3
34,0,3
34,49,2
35,0,2
35,49,3
36,0,2
36,49,2
37,0,3
37,49,2
38,0,3
38,49,3
39,0,3
39,49,2
40,0,3
40,49,3
41,0,2
41,49,3
42,0,2
42,49,3
43,0,2
43,49,2
44,0,2
44,49,2
45,0,1
45,49,2
46,0,3
46,49,1
47,0,3
47,49,1
48,0,2
48,49,1
49,0,2
