node,extreme,spl
0,49,1
1,0,1
1,49,2
2,0,1
2,49,2
3,0,1
3,49,2
4,0,2
4,49,3
5,0,2
5,49,3
6,0,2
6,49,2
7,0,3
7,49,3
8,0,3
8,49,2
9,0,3
9,49,3
10,0,4
10,49,3
11,0,2
11,49,1
12,0,3
12,49,3
13,0,3
13,49,2
14,0,3
14,49,2
15,0,3
15,49,2
16,0,3
16,49,2
17,0,3
17,49,3
18,0,3
18,49,3
19,0,3
19,49,3
20,0,3
20,49,3
21,0,2
21,49,3
22,0,3
22,49,2
23,0,3
23,49,2
24,0,3
24,49,3
25,0,3
25,49,3
26,0,3
26,49,3
27,0,3
27,49,3
28,0,2
28,49,3
29,0,2
29,49,3
30,0,2
30,49,3
31,0,3
31,49,3
32,0,2
32,49,2
33,0,1
33,49,2
34,0,2
34,49,2
35,0,2
35,49,2
36,0,3
36,49,3
37,0,2
37,49,1
38,0,3
38,49,3
39,0,2
39,49,3
40,0,3
40,49,2
41,0,3
41,49,3
42,0,3
42,49,3
43,0,2
43,49,3
44,0,3
44,49,2
45,0,2
45,49,2
46,0,3
46,49,2
47,0,2
47,49,1
48,0,2
48,49,1
49,0,1
