<<<<<<< HEAD
0.00154632 0.559033
=======
0.0588887 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0185515 0.546139
0.0068995 0.546139
0.0068995 0.546139
0.0068995 0.546139
0.0068995 0.546139
0.0068995 0.546139
0.0068995 0.546139
0.0068995 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.546139
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00634407 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00458648 0.52719
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.524009
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.510508
0.00237544 0.505481
0.00237544 0.505481
0.00237544 0.505481
0.00237544 0.505481
0.00237544 0.498133
0.00237544 0.498133
0.00237544 0.498133
0.00237544 0.498133
0.00237544 0.498133
0.00237544 0.498133
0.00237544 0.498133
