0,7,0,12,0,17,0,31
0,11,0,41,0,44,0,47
0,11,0,12,0,13,0,33
0,40,0,43,0,45,0,48
0,12,0,35,0,44,0,45
0,16,0,27,0,33,0,35
1,8,0,19,0,35,0,37
0,0,0,14,0,16,0,38
1,6,0,14,0,20,0,28
0,23,0,29,0,33,0,49
1,13,0,18,0,20,0,36
0,1,0,2,0,20,0,45
0,0,0,2,0,4,0,49
0,2,1,10,0,25,0,27
0,7,0,8,0,32,0,43
1,18,0,46,0,47,0,49
0,5,0,7,0,39,0,47
0,0,0,26,0,30,0,48
0,10,1,15,0,24,0,43
0,6,1,22,0,31,0,46
0,8,0,10,0,11,0,26
0,38,0,39,0,45,0,46
1,19,0,33,0,42,0,43
0,9,1,24,0,38,0,41
0,18,1,23,1,26,0,35
0,13,0,37,0,38,0,42
0,17,0,20,1,24,0,34
0,5,0,13,1,30,0,40
0,8,0,34,0,40,0,49
0,9,1,32,0,36,0,48
0,17,1,27,1,32,0,46
0,0,0,19,0,36,0,41
0,14,1,29,1,30,0,44
0,2,0,5,0,9,0,22
0,26,0,28,0,39,0,42
0,4,0,5,0,6,0,24
0,10,0,29,0,31,1,39
0,6,0,25,0,47,0,48
0,7,0,21,0,23,0,25
0,16,0,21,0,34,1,36
0,3,0,27,0,28,1,41
0,1,0,23,0,31,1,40
0,22,0,25,0,34,1,44
0,3,0,14,0,18,0,22
0,1,0,4,0,32,1,42
0,3,0,4,0,11,0,21
0,15,0,19,0,21,0,30
0,1,0,15,0,16,0,37
0,3,0,17,0,29,0,37
0,9,0,12,0,15,0,28
