node,neighbor,spl
0,1,3
0,2,2
0,3,3
0,4,2
0,5,3
1,0,3
1,2,2
1,3,3
1,4,2
1,5,3
2,0,2
2,1,2
2,3,3
2,4,2
2,5,2
3,0,3
3,1,3
3,2,3
3,4,2
3,5,3
3,6,3
4,1,2
4,2,2
4,3,2
4,5,2
4,6,2
4,7,3
5,2,2
5,3,3
5,4,2
5,6,2
5,7,2
5,8,3
6,3,3
6,4,2
6,5,2
6,7,3
6,8,1
6,9,4
7,4,3
7,5,2
7,6,3
7,8,2
7,9,3
7,10,4
8,5,3
8,6,1
8,7,2
8,9,3
8,10,2
8,11,2
9,6,4
9,7,3
9,8,3
9,10,3
9,11,3
9,12,2
10,7,4
10,8,2
10,9,3
10,11,2
10,12,3
10,13,1
11,8,2
11,9,3
11,10,2
11,12,2
11,13,2
11,14,3
12,9,2
12,10,3
12,11,2
12,13,2
12,14,3
12,15,2
13,10,1
13,11,2
13,12,2
13,14,4
13,15,3
13,16,3
14,11,3
14,12,3
14,13,4
14,15,3
14,16,2
14,17,3
15,12,2
15,13,3
15,14,3
15,16,2
15,17,3
15,18,1
16,13,3
16,14,2
16,15,2
16,17,3
16,18,3
16,19,4
17,14,3
17,15,3
17,16,3
17,18,3
17,19,3
17,20,2
18,15,1
18,16,3
18,17,3
18,19,3
18,20,2
18,21,3
19,16,4
19,17,3
19,18,3
19,20,3
19,21,2
19,22,1
20,17,2
20,18,2
20,19,3
20,21,3
20,22,4
20,23,3
21,18,3
21,19,2
21,20,3
21,22,3
21,23,2
21,24,3
22,19,1
22,20,4
22,21,3
22,23,3
22,24,3
22,25,2
23,20,3
23,21,2
23,22,3
23,24,1
23,25,2
23,26,2
24,21,3
24,22,3
24,23,1
24,25,3
24,26,1
24,27,3
25,22,2
25,23,2
25,24,3
25,26,3
25,27,2
25,28,3
26,23,2
26,24,1
26,25,3
26,27,3
26,28,2
26,29,3
27,24,3
27,25,2
27,26,3
27,28,2
27,29,3
27,30,1
28,25,3
28,26,2
28,27,2
28,29,3
28,30,3
28,31,3
29,26,3
29,27,3
29,28,3
29,30,2
29,31,2
29,32,1
30,27,1
30,28,3
30,29,2
30,31,3
30,32,1
30,33,3
31,28,3
31,29,2
31,30,3
31,32,3
31,33,3
31,34,3
32,29,1
32,30,1
32,31,3
32,33,3
32,34,3
32,35,3
33,30,3
33,31,3
33,32,3
33,34,3
33,35,2
33,36,3
34,31,3
34,32,3
34,33,3
34,35,3
34,36,2
34,37,3
35,32,3
35,33,2
35,34,3
35,36,4
35,37,2
35,38,3
36,33,3
36,34,2
36,35,4
36,37,3
36,38,3
36,39,1
37,34,3
37,35,2
37,36,3
37,38,2
37,39,3
37,40,3
38,35,3
38,36,3
38,37,2
38,39,2
38,40,3
38,41,2
39,36,1
39,37,3
39,38,2
39,40,3
39,41,3
39,42,2
40,37,3
40,38,3
40,39,3
40,41,1
40,42,3
40,43,2
41,38,2
41,39,3
41,40,1
41,42,3
41,43,3
41,44,2
42,39,2
42,40,3
42,41,3
42,43,2
42,44,1
42,45,3
43,40,2
43,41,3
43,42,2
43,44,3
43,45,2
43,46,3
44,41,2
44,42,1
44,43,3
44,45,2
44,46,3
44,47,2
45,42,3
45,43,2
45,44,2
45,46,2
45,47,3
45,48,2
46,43,3
46,44,3
46,45,2
46,47,2
46,48,3
46,49,2
47,44,2
47,45,3
47,46,2
47,48,2
47,49,2
48,44,3
48,45,2
48,46,3
48,47,2
48,49,3
49,44,3
49,45,3
49,46,2
49,47,2
49,48,3
