node,neighbor,spl
0,1,3
0,2,3
0,3,3
0,4,3
0,5,1
1,0,3
1,2,2
1,3,2
1,4,2
1,5,2
2,0,3
2,1,2
2,3,3
2,4,3
2,5,2
3,0,3
3,1,2
3,2,3
3,4,2
3,5,3
3,6,3
4,1,2
4,2,3
4,3,2
4,5,3
4,6,4
4,7,3
5,2,2
5,3,3
5,4,3
5,6,3
5,7,3
5,8,4
6,3,3
6,4,4
6,5,3
6,7,3
6,8,3
6,9,3
7,4,3
7,5,3
7,6,3
7,8,2
7,9,1
7,10,3
8,5,4
8,6,3
8,7,2
8,9,1
8,10,2
8,11,2
9,6,3
9,7,1
9,8,1
9,10,2
9,11,3
9,12,2
10,7,3
10,8,2
10,9,2
10,11,3
10,12,3
10,13,3
11,8,2
11,9,3
11,10,3
11,12,3
11,13,2
11,14,1
12,9,2
12,10,3
12,11,3
12,13,3
12,14,2
12,15,3
13,10,3
13,11,2
13,12,3
13,14,3
13,15,1
13,16,3
14,11,1
14,12,2
14,13,3
14,15,2
14,16,3
14,17,3
15,12,3
15,13,1
15,14,2
15,16,2
15,17,2
15,18,1
16,13,3
16,14,3
16,15,2
16,17,3
16,18,3
16,19,2
17,14,3
17,15,2
17,16,3
17,18,1
17,19,2
17,20,1
18,15,1
18,16,3
18,17,1
18,19,1
18,20,2
18,21,3
19,16,2
19,17,2
19,18,1
19,20,1
19,21,3
19,22,3
20,17,1
20,18,2
20,19,1
20,21,4
20,22,3
20,23,3
21,18,3
21,19,3
21,20,4
21,22,3
21,23,3
21,24,3
22,19,3
22,20,3
22,21,3
22,23,4
22,24,2
22,25,2
23,20,3
23,21,3
23,22,4
23,24,2
23,25,3
23,26,2
24,21,3
24,22,2
24,23,2
24,25,3
24,26,2
24,27,3
25,22,2
25,23,3
25,24,3
25,26,2
25,27,2
25,28,3
26,23,2
26,24,2
26,25,2
26,27,3
26,28,2
26,29,3
27,24,3
27,25,2
27,26,3
27,28,3
27,29,2
27,30,3
28,25,3
28,26,2
28,27,3
28,29,2
28,30,3
28,31,1
29,26,3
29,27,2
29,28,2
29,30,2
29,31,1
29,32,3
30,27,3
30,28,3
30,29,2
30,31,3
30,32,2
30,33,3
31,28,1
31,29,1
31,30,3
31,32,2
31,33,3
31,34,2
32,29,3
32,30,2
32,31,2
32,33,2
32,34,3
32,35,3
33,30,3
33,31,3
33,32,2
33,34,3
33,35,3
33,36,2
34,31,2
34,32,3
34,33,3
34,35,2
34,36,3
34,37,3
35,32,3
35,33,3
35,34,2
35,36,2
35,37,3
35,38,1
36,33,2
36,34,3
36,35,2
36,37,2
36,38,2
36,39,2
37,34,3
37,35,3
37,36,2
37,38,3
37,39,2
37,40,3
38,35,1
38,36,2
38,37,3
38,39,2
38,40,2
38,41,3
39,36,2
39,37,2
39,38,2
39,40,3
39,41,2
39,42,3
40,37,3
40,38,2
40,39,3
40,41,2
40,42,1
40,43,3
41,38,3
41,39,2
41,40,2
41,42,1
41,43,3
41,44,3
42,39,3
42,40,1
42,41,1
42,43,3
42,44,3
42,45,3
43,40,3
43,41,3
43,42,3
43,44,3
43,45,2
43,46,2
44,41,3
44,42,3
44,43,3
44,45,3
44,46,3
44,47,4
45,42,3
45,43,2
45,44,3
45,46,3
45,47,2
45,48,2
46,43,2
46,44,3
46,45,3
46,47,3
46,48,3
46,49,2
47,44,4
47,45,2
47,46,3
47,48,4
47,49,3
48,44,2
48,45,2
48,46,3
48,47,4
48,49,2
49,44,1
49,45,2
49,46,2
49,47,3
49,48,2
