node,neighbor,spl
0,1,3
0,2,3
0,3,2
0,4,1
0,5,4
1,0,3
1,2,3
1,3,1
1,4,4
1,5,3
2,0,3
2,1,3
2,3,3
2,4,2
2,5,3
3,0,2
3,1,1
3,2,3
3,4,3
3,5,3
3,6,3
4,1,4
4,2,2
4,3,3
4,5,3
4,6,3
4,7,3
5,2,3
5,3,3
5,4,3
5,6,2
5,7,2
5,8,3
6,3,3
6,4,3
6,5,2
6,7,2
6,8,3
6,9,2
7,4,3
7,5,2
7,6,2
7,8,2
7,9,3
7,10,3
8,5,3
8,6,3
8,7,2
8,9,3
8,10,3
8,11,3
9,6,2
9,7,3
9,8,3
9,10,2
9,11,3
9,12,3
10,7,3
10,8,3
10,9,2
10,11,2
10,12,3
10,13,3
11,8,3
11,9,3
11,10,2
11,12,3
11,13,3
11,14,2
12,9,3
12,10,3
12,11,3
12,13,3
12,14,1
12,15,3
13,10,3
13,11,3
13,12,3
13,14,4
13,15,3
13,16,3
14,11,2
14,12,1
14,13,4
14,15,2
14,16,3
14,17,3
15,12,3
15,13,3
15,14,2
15,16,3
15,17,3
15,18,3
16,13,3
16,14,3
16,15,3
16,17,1
16,18,3
16,19,2
17,14,3
17,15,3
17,16,1
17,18,3
17,19,3
17,20,2
18,15,3
18,16,3
18,17,3
18,19,3
18,20,3
18,21,3
19,16,2
19,17,3
19,18,3
19,20,3
19,21,2
19,22,4
20,17,2
20,18,3
20,19,3
20,21,3
20,22,3
20,23,3
21,18,3
21,19,2
21,20,3
21,22,3
21,23,3
21,24,3
22,19,4
22,20,3
22,21,3
22,23,3
22,24,2
22,25,2
23,20,3
23,21,3
23,22,3
23,24,2
23,25,3
23,26,3
24,21,3
24,22,2
24,23,2
24,25,3
24,26,3
24,27,3
25,22,2
25,23,3
25,24,3
25,26,1
25,27,3
25,28,3
26,23,3
26,24,3
26,25,1
26,27,4
26,28,2
26,29,3
27,24,3
27,25,3
27,26,4
27,28,3
27,29,3
27,30,3
28,25,3
28,26,2
28,27,3
28,29,3
28,30,2
28,31,3
29,26,3
29,27,3
29,28,3
29,30,2
29,31,2
29,32,3
30,27,3
30,28,2
30,29,2
30,31,3
30,32,2
30,33,3
31,28,3
31,29,2
31,30,3
31,32,3
31,33,3
31,34,3
32,29,3
32,30,2
32,31,3
32,33,2
32,34,2
32,35,3
33,30,3
33,31,3
33,32,2
33,34,3
33,35,1
33,36,2
34,31,3
34,32,2
34,33,3
34,35,2
34,36,3
34,37,2
35,32,3
35,33,1
35,34,2
35,36,3
35,37,2
35,38,3
36,33,2
36,34,3
36,35,3
36,37,3
36,38,2
36,39,3
37,34,2
37,35,2
37,36,3
37,38,3
37,39,3
37,40,3
38,35,3
38,36,2
38,37,3
38,39,3
38,40,2
38,41,3
39,36,3
39,37,3
39,38,3
39,40,1
39,41,3
39,42,2
40,37,3
40,38,2
40,39,1
40,41,2
40,42,3
40,43,2
41,38,3
41,39,3
41,40,2
41,42,3
41,43,3
41,44,3
42,39,2
42,40,3
42,41,3
42,43,3
42,44,3
42,45,2
43,40,2
43,41,3
43,42,3
43,44,1
43,45,3
43,46,3
44,41,3
44,42,3
44,43,1
44,45,3
44,46,3
44,47,2
45,42,2
45,43,3
45,44,3
45,46,3
45,47,3
45,48,3
46,43,3
46,44,3
46,45,3
46,47,1
46,48,3
46,49,3
47,44,2
47,45,3
47,46,1
47,48,3
47,49,3
48,44,1
48,45,3
48,46,3
48,47,3
48,49,3
49,44,3
49,45,4
49,46,3
49,47,3
49,48,3
