node,extreme,spl
0,49,3
1,0,3
1,49,3
2,0,3
2,49,4
3,0,2
3,49,2
4,0,1
4,49,3
5,0,4
5,49,2
6,0,3
6,49,4
7,0,2
7,49,3
8,0,3
8,49,3
9,0,4
9,49,4
10,0,2
10,49,2
11,0,3
11,49,4
12,0,3
12,49,1
13,0,3
13,49,3
14,0,2
14,49,2
15,0,3
15,49,2
16,0,3
16,49,1
17,0,3
17,49,2
18,0,3
18,49,2
19,0,1
19,49,3
20,0,3
20,49,3
21,0,1
21,49,2
22,0,3
22,49,3
23,0,3
23,49,3
24,0,3
24,49,3
25,0,1
25,49,3
26,0,2
26,49,3
27,0,2
27,49,2
28,0,4
28,49,3
29,0,2
29,49,4
30,0,4
30,49,3
31,0,3
31,49,3
32,0,2
32,49,3
33,0,2
33,49,1
34,0,2
34,49,3
35,0,3
35,49,2
36,0,3
36,49,3
37,0,3
37,49,1
38,0,3
38,49,3
39,0,3
39,49,2
40,0,4
40,49,3
41,0,3
41,49,3
42,0,4
42,49,2
43,0,2
43,49,3
44,0,3
44,49,3
45,0,3
45,49,4
46,0,3
46,49,3
47,0,2
47,49,3
48,0,3
48,49,3
49,0,3
