node,extreme,spl
0,49,4
1,0,1
1,49,5
2,0,1
2,49,5
3,0,1
3,49,5
4,0,2
4,49,4
5,0,2
5,49,4
6,0,2
6,49,5
7,0,3
7,49,3
8,0,3
8,49,5
9,0,3
9,49,5
10,0,4
10,49,4
11,0,4
11,49,6
12,0,4
12,49,5
13,0,5
13,49,5
14,0,5
14,49,6
15,0,3
15,49,4
16,0,4
16,49,5
17,0,5
17,49,5
18,0,4
18,49,4
19,0,5
19,49,4
20,0,5
20,49,4
21,0,5
21,49,3
22,0,6
22,49,3
23,0,6
23,49,4
24,0,6
24,49,2
25,0,5
25,49,3
26,0,6
26,49,3
27,0,5
27,49,1
28,0,4
28,49,2
29,0,5
29,49,3
30,0,5
30,49,2
31,0,4
31,49,3
32,0,4
32,49,3
33,0,4
33,49,3
34,0,3
34,49,4
35,0,3
35,49,4
36,0,4
36,49,4
37,0,2
37,49,4
38,0,3
38,49,4
39,0,3
39,49,4
40,0,1
40,49,3
41,0,2
41,49,3
42,0,3
42,49,3
43,0,2
43,49,2
44,0,3
44,49,2
45,0,3
45,49,2
46,0,3
46,49,1
47,0,4
47,49,1
48,0,4
48,49,1
49,0,4
