node,extreme,spl
0,49,2
1,0,1
1,49,2
2,0,1
2,49,2
3,0,1
3,49,3
4,0,2
4,49,3
5,0,2
5,49,3
6,0,2
6,49,3
7,0,3
7,49,3
8,0,3
8,49,3
9,0,3
9,49,2
10,0,3
10,49,2
11,0,3
11,49,2
12,0,3
12,49,1
13,0,2
13,49,2
14,0,2
14,49,2
15,0,1
15,49,3
16,0,2
16,49,3
17,0,2
17,49,3
18,0,2
18,49,3
19,0,3
19,49,3
20,0,3
20,49,3
21,0,3
21,49,2
22,0,3
22,49,2
23,0,3
23,49,2
24,0,3
24,49,1
25,0,2
25,49,3
26,0,3
26,49,2
27,0,3
27,49,2
28,0,3
28,49,3
29,0,3
29,49,3
30,0,3
30,49,3
31,0,3
31,49,3
32,0,2
32,49,3
33,0,2
33,49,3
34,0,2
34,49,2
35,0,1
35,49,3
36,0,2
36,49,2
37,0,3
37,49,1
38,0,2
38,49,2
39,0,3
39,49,2
40,0,3
40,49,2
41,0,3
41,49,3
42,0,3
42,49,3
43,0,3
43,49,2
44,0,3
44,49,2
45,0,2
45,49,2
46,0,2
46,49,1
47,0,2
47,49,1
48,0,1
48,49,1
49,0,2
