node,neighbor,spl
0,1,3
0,2,3
0,3,2
0,4,3
0,5,2
1,0,3
1,2,3
1,3,4
1,4,3
1,5,4
2,0,3
2,1,3
2,3,2
2,4,3
2,5,1
3,0,2
3,1,4
3,2,2
3,4,1
3,5,3
3,6,4
4,1,3
4,2,3
4,3,1
4,5,4
4,6,3
4,7,2
5,2,1
5,3,3
5,4,4
5,6,2
5,7,2
5,8,3
6,3,4
6,4,3
6,5,2
6,7,3
6,8,2
6,9,3
7,4,2
7,5,2
7,6,3
7,8,3
7,9,3
7,10,3
8,5,3
8,6,2
8,7,3
8,9,3
8,10,3
8,11,3
9,6,3
9,7,3
9,8,3
9,10,4
9,11,2
9,12,2
10,7,3
10,8,3
10,9,4
10,11,3
10,12,3
10,13,4
11,8,3
11,9,2
11,10,3
11,12,3
11,13,3
11,14,3
12,9,2
12,10,3
12,11,3
12,13,2
12,14,2
12,15,2
13,10,4
13,11,3
13,12,2
13,14,3
13,15,3
13,16,3
14,11,3
14,12,2
14,13,3
14,15,4
14,16,2
14,17,4
15,12,2
15,13,3
15,14,4
15,16,3
15,17,3
15,18,2
16,13,3
16,14,2
16,15,3
16,17,4
16,18,3
16,19,2
17,14,4
17,15,3
17,16,4
17,18,4
17,19,3
17,20,4
18,15,2
18,16,3
18,17,4
18,19,3
18,20,4
18,21,3
19,16,2
19,17,3
19,18,3
19,20,3
19,21,3
19,22,2
20,17,4
20,18,4
20,19,3
20,21,3
20,22,4
20,23,3
21,18,3
21,19,3
21,20,3
21,22,2
21,23,4
21,24,3
22,19,2
22,20,4
22,21,2
22,23,3
22,24,3
22,25,2
23,20,3
23,21,4
23,22,3
23,24,2
23,25,2
23,26,4
24,21,3
24,22,3
24,23,2
24,25,3
24,26,3
24,27,1
25,22,2
25,23,2
25,24,3
25,26,4
25,27,4
25,28,4
26,23,4
26,24,3
26,25,4
26,27,2
26,28,2
26,29,3
27,24,1
27,25,4
27,26,2
27,28,2
27,29,1
27,30,3
28,25,4
28,26,2
28,27,2
28,29,3
28,30,3
28,31,5
29,26,3
29,27,1
29,28,3
29,30,2
29,31,4
29,32,3
30,27,3
30,28,3
30,29,2
30,31,2
30,32,1
30,33,1
31,28,5
31,29,4
31,30,2
31,32,1
31,33,3
31,34,4
32,29,3
32,30,1
32,31,1
32,33,2
32,34,3
32,35,3
33,30,1
33,31,3
33,32,2
33,34,3
33,35,1
33,36,3
34,31,4
34,32,3
34,33,3
34,35,4
34,36,4
34,37,4
35,32,3
35,33,1
35,34,4
35,36,2
35,37,4
35,38,3
36,33,3
36,34,4
36,35,2
36,37,3
36,38,1
36,39,3
37,34,4
37,35,4
37,36,3
37,38,3
37,39,3
37,40,3
38,35,3
38,36,1
38,37,3
38,39,2
38,40,4
38,41,4
39,36,3
39,37,3
39,38,2
39,40,4
39,41,3
39,42,2
40,37,3
40,38,4
40,39,4
40,41,2
40,42,3
40,43,4
41,38,4
41,39,3
41,40,2
41,42,4
41,43,4
41,44,3
42,39,2
42,40,3
42,41,4
42,43,4
42,44,4
42,45,3
43,40,4
43,41,4
43,42,4
43,44,2
43,45,1
43,46,2
44,41,3
44,42,4
44,43,2
44,45,3
44,46,4
44,47,3
45,42,3
45,43,1
45,44,3
45,46,1
45,47,4
45,48,3
46,43,2
46,44,4
46,45,1
46,47,3
46,48,3
46,49,3
47,44,3
47,45,4
47,46,3
47,48,2
47,49,3
48,44,2
48,45,3
48,46,3
48,47,2
48,49,2
49,44,2
49,45,2
49,46,3
49,47,3
49,48,2
