node,extreme,spl
0,49,2
1,0,2
1,49,3
2,0,1
2,49,3
3,0,1
3,49,1
4,0,2
4,49,2
5,0,2
5,49,2
6,0,3
6,49,3
7,0,3
7,49,3
8,0,3
8,49,3
9,0,3
9,49,2
10,0,3
10,49,3
11,0,2
11,49,3
12,0,1
12,49,3
13,0,2
13,49,3
14,0,3
14,49,3
15,0,2
15,49,4
16,0,3
16,49,2
17,0,3
17,49,3
18,0,3
18,49,3
19,0,3
19,49,3
20,0,4
20,49,2
21,0,2
21,49,3
22,0,4
22,49,3
23,0,3
23,49,3
24,0,3
24,49,4
25,0,4
25,49,3
26,0,3
26,49,4
27,0,3
27,49,3
28,0,4
28,49,4
29,0,3
29,49,3
30,0,3
30,49,3
31,0,4
31,49,3
32,0,3
32,49,2
33,0,3
33,49,3
34,0,3
34,49,1
35,0,3
35,49,2
36,0,3
36,49,3
37,0,2
37,49,3
38,0,1
38,49,3
39,0,2
39,49,3
40,0,2
40,49,3
41,0,3
41,49,4
42,0,3
42,49,3
43,0,3
43,49,2
44,0,3
44,49,2
45,0,4
45,49,2
46,0,3
46,49,1
47,0,4
47,49,2
48,0,3
48,49,1
49,0,2
