1,2,20,37,49
0,2,3,4,48
0,1,3,4,5
1,2,4,5,6
1,2,3,6,7
2,3,6,7,8
3,4,5,8,9
4,5,8,9,10
5,6,7,9,10
6,7,8,11,12
7,8,11,12,13
9,10,12,13,49
9,10,11,14,15
10,11,14,15,16
12,13,15,16,17
12,13,14,17,18
13,14,17,18,19
14,15,16,19,20
15,16,19,20,21
16,17,18,21,22
0,17,18,21,23
18,19,20,22,24
19,21,23,24,25
20,22,24,25,26
21,22,23,25,27
22,23,24,26,27
23,25,27,28,29
24,25,26,28,30
26,27,29,30,31
26,28,30,31,32
27,28,29,33,49
28,29,32,33,34
29,31,33,34,35
30,31,32,35,36
31,32,35,36,37
32,33,34,36,38
33,34,35,38,39
0,34,38,39,40
35,36,37,40,41
36,37,40,41,42
37,38,39,42,43
38,39,42,43,44
39,40,41,43,45
40,41,42,44,46
41,43,45,46,47
42,44,46,47,48
43,44,45,47,48
44,45,46,48,49
1,45,46,47,49
0,11,30,47,48
