1,1,0,14,0,34,0,45
1,0,1,2,1,4,0,22
1,1,1,3,1,5,0,21
1,2,1,4,1,5,1,6
1,1,1,3,1,6,1,7
1,2,1,3,1,6,1,7
1,3,1,4,1,5,1,8
1,4,1,5,1,9,1,10
1,6,1,9,1,11,0,49
1,7,1,8,1,10,1,12
1,7,1,9,1,11,1,13
1,8,1,10,1,13,1,14
1,9,1,13,1,14,1,15
1,10,1,11,1,12,1,15
0,0,1,11,1,12,1,17
1,12,1,13,1,16,1,18
1,15,1,17,1,18,1,19
1,14,1,16,1,18,1,20
1,15,1,16,1,17,1,20
1,16,1,21,1,22,0,49
1,17,1,18,1,21,1,23
0,2,1,19,1,20,1,24
0,1,1,19,1,23,1,25
1,20,1,22,1,24,1,25
1,21,1,23,1,25,1,27
1,22,1,23,1,24,1,26
1,25,1,27,1,28,0,47
1,24,1,26,1,29,0,45
1,26,1,29,1,31,0,47
1,27,1,28,1,30,1,32
1,29,1,31,1,32,1,33
1,28,1,30,1,32,1,34
1,29,1,30,1,31,1,35
1,30,1,36,0,39,0,49
0,0,1,31,1,36,1,37
1,32,1,36,1,37,1,38
1,33,1,34,1,35,1,38
1,34,1,35,1,39,1,40
1,35,1,36,1,40,1,41
0,33,1,37,1,40,1,41
1,37,1,38,1,39,1,43
1,38,1,39,1,42,1,44
1,41,1,43,1,44,1,45
1,40,1,42,1,44,1,46
1,41,1,42,1,43,1,46
0,0,0,27,1,42,1,48
1,43,1,44,1,47,1,48
0,26,0,28,1,46,1,48
1,45,1,46,1,47,1,49
0,8,0,19,0,33,1,48
