node,neighbor,spl
0,1,2
0,2,4
0,3,2
0,4,5
0,5,3
1,0,2
1,2,3
1,3,4
1,4,3
1,5,4
2,0,4
2,1,3
2,3,2
2,4,3
2,5,3
3,0,2
3,1,4
3,2,2
3,4,3
3,5,1
3,6,1
4,1,3
4,2,3
4,3,3
4,5,4
4,6,4
4,7,2
5,2,3
5,3,1
5,4,4
5,6,2
5,7,3
5,8,5
6,3,1
6,4,4
6,5,2
6,7,4
6,8,4
6,9,2
7,4,2
7,5,3
7,6,4
7,8,2
7,9,4
7,10,4
8,5,5
8,6,4
8,7,2
8,9,4
8,10,3
8,11,4
9,6,2
9,7,4
9,8,4
9,10,2
9,11,3
9,12,4
10,7,4
10,8,3
10,9,2
10,11,4
10,12,2
10,13,4
11,8,4
11,9,3
11,10,4
11,12,4
11,13,4
11,14,2
12,9,4
12,10,2
12,11,4
12,13,4
12,14,4
12,15,5
13,10,4
13,11,4
13,12,4
13,14,5
13,15,4
13,16,3
14,11,2
14,12,4
14,13,5
14,15,3
14,16,2
14,17,3
15,12,5
15,13,4
15,14,3
15,16,4
15,17,3
15,18,4
16,13,3
16,14,2
16,15,4
16,17,4
16,18,4
16,19,5
17,14,3
17,15,3
17,16,4
17,18,2
17,19,4
17,20,4
18,15,4
18,16,4
18,17,2
18,19,5
18,20,2
18,21,3
19,16,5
19,17,4
19,18,5
19,20,4
19,21,4
19,22,4
20,17,4
20,18,2
20,19,4
20,21,4
20,22,2
20,23,3
21,18,3
21,19,4
21,20,4
21,22,4
21,23,2
21,24,3
22,19,4
22,20,2
22,21,4
22,23,4
22,24,4
22,25,5
23,20,3
23,21,2
23,22,4
23,24,5
23,25,2
23,26,4
24,21,3
24,22,4
24,23,5
24,25,4
24,26,2
24,27,5
25,22,5
25,23,2
25,24,4
25,26,2
25,27,4
25,28,4
26,23,4
26,24,2
26,25,2
26,27,4
26,28,4
26,29,1
27,24,5
27,25,4
27,26,4
27,28,4
27,29,3
27,30,3
28,25,4
28,26,4
28,27,4
28,29,3
28,30,5
28,31,4
29,26,1
29,27,3
29,28,3
29,30,3
29,31,5
29,32,1
30,27,3
30,28,5
30,29,3
30,31,3
30,32,4
30,33,1
31,28,4
31,29,5
31,30,3
31,32,4
31,33,4
31,34,4
32,29,1
32,30,4
32,31,4
32,33,3
32,34,5
32,35,5
33,30,1
33,31,4
33,32,3
33,34,2
33,35,3
33,36,3
34,31,4
34,32,5
34,33,2
34,35,4
34,36,4
34,37,4
35,32,5
35,33,3
35,34,4
35,36,3
35,37,3
35,38,4
36,33,3
36,34,4
36,35,3
36,37,2
36,38,3
36,39,4
37,34,4
37,35,3
37,36,2
37,38,1
37,39,4
37,40,3
38,35,4
38,36,3
38,37,1
38,39,4
38,40,4
38,41,2
39,36,4
39,37,4
39,38,4
39,40,4
39,41,3
39,42,2
40,37,3
40,38,4
40,39,4
40,41,4
40,42,4
40,43,4
41,38,2
41,39,3
41,40,4
41,42,4
41,43,4
41,44,1
42,39,2
42,40,4
42,41,4
42,43,3
42,44,3
42,45,5
43,40,4
43,41,4
43,42,3
43,44,4
43,45,2
43,46,3
44,41,1
44,42,3
44,43,4
44,45,3
44,46,4
44,47,4
45,42,5
45,43,2
45,44,3
45,46,1
45,47,3
45,48,3
46,43,3
46,44,4
46,45,1
46,47,4
46,48,2
46,49,4
47,44,4
47,45,3
47,46,4
47,48,3
47,49,1
48,44,3
48,45,3
48,46,2
48,47,3
48,49,2
49,44,3
49,45,4
49,46,4
49,47,1
49,48,2
