node,neighbor,spl
0,1,4
0,2,3
0,3,4
0,4,4
0,5,4
1,0,4
1,2,2
1,3,1
1,4,2
1,5,3
2,0,3
2,1,2
2,3,1
2,4,2
2,5,2
3,0,4
3,1,1
3,2,1
3,4,1
3,5,2
3,6,3
4,1,2
4,2,2
4,3,1
4,5,1
4,6,2
4,7,1
5,2,2
5,3,2
5,4,1
5,6,1
5,7,2
5,8,3
6,3,3
6,4,2
6,5,1
6,7,3
6,8,2
6,9,4
7,4,1
7,5,2
7,6,3
7,8,4
7,9,1
7,10,2
8,5,3
8,6,2
8,7,4
8,9,4
8,10,3
8,11,2
9,6,4
9,7,1
9,8,4
9,10,1
9,11,2
9,12,1
10,7,2
10,8,3
10,9,1
10,11,1
10,12,2
10,13,2
11,8,2
11,9,2
11,10,1
11,12,3
11,13,1
11,14,3
12,9,1
12,10,2
12,11,3
12,13,3
12,14,1
12,15,2
13,10,2
13,11,1
13,12,3
13,14,2
13,15,1
13,16,1
14,11,3
14,12,1
14,13,2
14,15,1
14,16,3
14,17,2
15,12,2
15,13,1
15,14,1
15,16,2
15,17,1
15,18,2
16,13,1
16,14,3
16,15,2
16,17,1
16,18,2
16,19,1
17,14,2
17,15,1
17,16,1
17,18,1
17,19,2
17,20,3
18,15,2
18,16,2
18,17,1
18,19,2
18,20,3
18,21,1
19,16,1
19,17,2
19,18,2
19,20,1
19,21,1
19,22,2
20,17,3
20,18,3
20,19,1
20,21,2
20,22,3
20,23,3
21,18,1
21,19,1
21,20,2
21,22,1
21,23,2
21,24,2
22,19,2
22,20,3
22,21,1
22,23,1
22,24,1
22,25,2
23,20,3
23,21,2
23,22,1
23,24,1
23,25,2
23,26,1
24,21,2
24,22,1
24,23,1
24,25,1
24,26,2
24,27,2
25,22,2
25,23,2
25,24,1
25,26,3
25,27,1
25,28,2
26,23,1
26,24,2
26,25,3
26,27,2
26,28,1
26,29,3
27,24,2
27,25,1
27,26,2
27,28,1
27,29,1
27,30,2
28,25,2
28,26,1
28,27,1
28,29,2
28,30,2
28,31,1
29,26,3
29,27,1
29,28,2
29,30,1
29,31,2
29,32,2
30,27,2
30,28,2
30,29,1
30,31,1
30,32,1
30,33,2
31,28,1
31,29,2
31,30,1
31,32,2
31,33,1
31,34,2
32,29,2
32,30,1
32,31,2
32,33,2
32,34,1
32,35,2
33,30,2
33,31,1
33,32,2
33,34,1
33,35,2
33,36,1
34,31,2
34,32,1
34,33,1
34,35,1
34,36,2
34,37,3
35,32,2
35,33,2
35,34,1
35,36,1
35,37,2
35,38,1
36,33,1
36,34,2
36,35,1
36,37,3
36,38,2
36,39,2
37,34,3
37,35,2
37,36,3
37,38,1
37,39,4
37,40,2
38,35,1
38,36,2
38,37,1
38,39,4
38,40,3
38,41,4
39,36,2
39,37,4
39,38,4
39,40,2
39,41,2
39,42,1
40,37,2
40,38,3
40,39,2
40,41,4
40,42,3
40,43,4
41,38,4
41,39,2
41,40,4
41,42,1
41,43,2
41,44,3
42,39,1
42,40,3
42,41,1
42,43,1
42,44,2
42,45,2
43,40,4
43,41,2
43,42,1
43,44,1
43,45,1
43,46,2
44,41,3
44,42,2
44,43,1
44,45,2
44,46,1
44,47,1
45,42,2
45,43,1
45,44,2
45,46,1
45,47,1
45,48,2
46,43,2
46,44,1
46,45,1
46,47,2
46,48,3
46,49,3
47,44,1
47,45,1
47,46,2
47,48,1
47,49,4
48,44,2
48,45,2
48,46,3
48,47,1
48,49,3
49,44,4
49,45,4
49,46,3
49,47,4
49,48,3
