node,extreme,spl
0,49,3
1,0,2
1,49,2
2,0,2
2,49,3
3,0,3
3,49,2
4,0,3
4,49,3
5,0,2
5,49,3
6,0,3
6,49,2
7,0,2
7,49,1
8,0,3
8,49,3
9,0,2
9,49,2
10,0,1
10,49,3
11,0,1
11,49,3
12,0,2
12,49,3
13,0,2
13,49,2
14,0,1
14,49,2
15,0,2
15,49,2
16,0,3
16,49,3
17,0,3
17,49,2
18,0,2
18,49,1
19,0,3
19,49,3
20,0,2
20,49,3
21,0,3
21,49,2
22,0,3
22,49,1
23,0,2
23,49,3
24,0,2
24,49,1
25,0,2
25,49,3
26,0,3
26,49,3
27,0,3
27,49,2
28,0,3
28,49,3
29,0,3
29,49,3
30,0,1
30,49,2
31,0,2
31,49,3
32,0,3
32,49,2
33,0,2
33,49,2
34,0,3
34,49,2
35,0,3
35,49,2
36,0,3
36,49,3
37,0,2
37,49,3
38,0,2
38,49,3
39,0,2
39,49,3
40,0,3
40,49,2
41,0,3
41,49,2
42,0,2
42,49,3
43,0,3
43,49,3
44,0,2
44,49,2
45,0,3
45,49,2
46,0,1
46,49,2
47,0,3
47,49,3
48,0,3
48,49,1
49,0,3
