node,neighbor,spl
0,1,2
0,2,2
0,3,3
0,4,3
0,5,2
1,0,2
1,2,2
1,3,3
1,4,2
1,5,3
2,0,2
2,1,2
2,3,2
2,4,2
2,5,3
3,0,3
3,1,3
3,2,2
3,4,2
3,5,2
3,6,1
4,1,2
4,2,2
4,3,2
4,5,2
4,6,1
4,7,2
5,2,3
5,3,2
5,4,2
5,6,1
5,7,2
5,8,2
6,3,1
6,4,1
6,5,1
6,7,1
6,8,2
6,9,2
7,4,2
7,5,2
7,6,1
7,8,2
7,9,3
7,10,2
8,5,2
8,6,2
8,7,2
8,9,1
8,10,2
8,11,3
9,6,2
9,7,3
9,8,1
9,10,1
9,11,2
9,12,1
10,7,2
10,8,2
10,9,1
10,11,2
10,12,2
10,13,2
11,8,3
11,9,2
11,10,2
11,12,1
11,13,1
11,14,2
12,9,1
12,10,2
12,11,1
12,13,2
12,14,2
12,15,2
13,10,2
13,11,1
13,12,2
13,14,2
13,15,1
13,16,1
14,11,2
14,12,2
14,13,2
14,15,2
14,16,3
14,17,2
15,12,2
15,13,1
15,14,2
15,16,2
15,17,2
15,18,2
16,13,1
16,14,3
16,15,2
16,17,2
16,18,2
16,19,2
17,14,2
17,15,2
17,16,2
17,18,1
17,19,1
17,20,2
18,15,2
18,16,2
18,17,1
18,19,2
18,20,2
18,21,2
19,16,2
19,17,1
19,18,2
19,20,1
19,21,1
19,22,2
20,17,2
20,18,2
20,19,1
20,21,2
20,22,2
20,23,3
21,18,2
21,19,1
21,20,2
21,22,3
21,23,1
21,24,1
22,19,2
22,20,2
22,21,3
22,23,2
22,24,2
22,25,2
23,20,3
23,21,1
23,22,2
23,24,2
23,25,2
23,26,1
24,21,1
24,22,2
24,23,2
24,25,2
24,26,2
24,27,1
25,22,2
25,23,2
25,24,2
25,26,2
25,27,1
25,28,2
26,23,1
26,24,2
26,25,2
26,27,2
26,28,3
26,29,1
27,24,1
27,25,1
27,26,2
27,28,1
27,29,2
27,30,2
28,25,2
28,26,3
28,27,1
28,29,2
28,30,2
28,31,2
29,26,1
29,27,2
29,28,2
29,30,2
29,31,2
29,32,2
30,27,2
30,28,2
30,29,2
30,31,2
30,32,2
30,33,1
31,28,2
31,29,2
31,30,2
31,32,2
31,33,1
31,34,1
32,29,2
32,30,2
32,31,2
32,33,2
32,34,3
32,35,2
33,30,1
33,31,1
33,32,2
33,34,2
33,35,2
33,36,2
34,31,1
34,32,3
34,33,2
34,35,2
34,36,2
34,37,3
35,32,2
35,33,2
35,34,2
35,36,1
35,37,2
35,38,1
36,33,2
36,34,2
36,35,1
36,37,2
36,38,2
36,39,2
37,34,3
37,35,2
37,36,2
37,38,1
37,39,2
37,40,1
38,35,1
38,36,2
38,37,1
38,39,2
38,40,2
38,41,3
39,36,2
39,37,2
39,38,2
39,40,1
39,41,2
39,42,1
40,37,1
40,38,2
40,39,1
40,41,2
40,42,2
40,43,1
41,38,3
41,39,2
41,40,2
41,42,1
41,43,3
41,44,2
42,39,1
42,40,2
42,41,1
42,43,2
42,44,1
42,45,2
43,40,1
43,41,3
43,42,2
43,44,1
43,45,2
43,46,3
44,41,2
44,42,1
44,43,1
44,45,1
44,46,2
44,47,2
45,42,2
45,43,2
45,44,1
45,46,2
45,47,2
45,48,2
46,43,3
46,44,2
46,45,2
46,47,2
46,48,3
46,49,2
47,44,2
47,45,2
47,46,2
47,48,3
47,49,3
48,44,1
48,45,2
48,46,3
48,47,3
48,49,1
49,44,2
49,45,2
49,46,2
49,47,3
49,48,1
