node,neighbor,spl
0,1,4
0,2,4
0,3,5
0,4,3
0,5,4
1,0,4
1,2,2
1,3,3
1,4,3
1,5,5
2,0,4
2,1,2
2,3,1
2,4,5
2,5,6
3,0,5
3,1,3
3,2,1
3,4,5
3,5,5
3,6,4
4,1,3
4,2,5
4,3,5
4,5,2
4,6,2
4,7,4
5,2,6
5,3,5
5,4,2
5,6,4
5,7,3
5,8,3
6,3,4
6,4,2
6,5,4
6,7,4
6,8,2
6,9,2
7,4,4
7,5,3
7,6,4
7,8,2
7,9,4
7,10,3
8,5,3
8,6,2
8,7,2
8,9,4
8,10,5
8,11,4
9,6,2
9,7,4
9,8,4
9,10,5
9,11,4
9,12,1
10,7,3
10,8,5
10,9,5
10,11,2
10,12,4
10,13,1
11,8,4
11,9,4
11,10,2
11,12,5
11,13,3
11,14,5
12,9,1
12,10,4
12,11,5
12,13,3
12,14,2
12,15,5
13,10,1
13,11,3
13,12,3
13,14,4
13,15,5
13,16,5
14,11,5
14,12,2
14,13,4
14,15,5
14,16,3
14,17,2
15,12,5
15,13,5
15,14,5
15,16,3
15,17,5
15,18,4
16,13,5
16,14,3
16,15,3
16,17,5
16,18,4
16,19,4
17,14,2
17,15,5
17,16,5
17,18,4
17,19,1
17,20,3
18,15,4
18,16,4
18,17,4
18,19,4
18,20,4
18,21,2
19,16,4
19,17,1
19,18,4
19,20,4
19,21,5
19,22,1
20,17,3
20,18,4
20,19,4
20,21,3
20,22,5
20,23,2
21,18,2
21,19,5
21,20,3
21,22,4
21,23,4
21,24,2
22,19,1
22,20,5
22,21,4
22,23,4
22,24,3
22,25,4
23,20,2
23,21,4
23,22,4
23,24,5
23,25,4
23,26,3
24,21,2
24,22,3
24,23,5
24,25,4
24,26,3
24,27,4
25,22,4
25,23,4
25,24,4
25,26,1
25,27,4
25,28,5
26,23,3
26,24,3
26,25,1
26,27,3
26,28,4
26,29,4
27,24,4
27,25,4
27,26,3
27,28,5
27,29,1
27,30,3
28,25,5
28,26,4
28,27,5
28,29,6
28,30,4
28,31,2
29,26,4
29,27,1
29,28,6
29,30,2
29,31,5
29,32,5
30,27,3
30,28,4
30,29,2
30,31,3
30,32,3
30,33,3
31,28,2
31,29,5
31,30,3
31,32,3
31,33,6
31,34,5
32,29,5
32,30,3
32,31,3
32,33,5
32,34,4
32,35,4
33,30,3
33,31,6
33,32,5
33,34,3
33,35,4
33,36,2
34,31,5
34,32,4
34,33,3
34,35,3
34,36,1
34,37,4
35,32,4
35,33,4
35,34,3
35,36,3
35,37,4
35,38,1
36,33,2
36,34,1
36,35,3
36,37,5
36,38,4
36,39,3
37,34,4
37,35,4
37,36,5
37,38,5
37,39,3
37,40,3
38,35,1
38,36,4
38,37,5
38,39,2
38,40,4
38,41,3
39,36,3
39,37,3
39,38,2
39,40,2
39,41,5
39,42,5
40,37,3
40,38,4
40,39,2
40,41,5
40,42,4
40,43,4
41,38,3
41,39,5
41,40,5
41,42,3
41,43,4
41,44,4
42,39,5
42,40,4
42,41,3
42,43,3
42,44,5
42,45,5
43,40,4
43,41,4
43,42,3
43,44,4
43,45,4
43,46,2
44,41,4
44,42,5
44,43,4
44,45,4
44,46,4
44,47,5
45,42,5
45,43,4
45,44,4
45,46,4
45,47,3
45,48,3
46,43,2
46,44,4
46,45,4
46,47,1
46,48,4
46,49,3
47,44,5
47,45,3
47,46,1
47,48,5
47,49,4
48,44,5
48,45,3
48,46,4
48,47,5
48,49,3
49,44,4
49,45,4
49,46,3
49,47,4
49,48,3
