node,extreme,spl
0,49,3
1,0,3
1,49,3
2,0,2
2,49,1
3,0,3
3,49,2
4,0,2
4,49,3
5,0,3
5,49,3
6,0,3
6,49,3
7,0,3
7,49,3
8,0,3
8,49,1
9,0,3
9,49,3
10,0,2
10,49,3
11,0,3
11,49,3
12,0,3
12,49,3
13,0,3
13,49,3
14,0,2
14,49,3
15,0,3
15,49,3
16,0,2
16,49,3
17,0,3
17,49,4
18,0,1
18,49,4
19,0,2
19,49,3
20,0,2
20,49,3
21,0,1
21,49,3
22,0,3
22,49,3
23,0,4
23,49,3
24,0,3
24,49,3
25,0,3
25,49,2
26,0,1
26,49,2
27,0,3
27,49,3
28,0,4
28,49,1
29,0,1
29,49,3
30,0,3
30,49,2
31,0,3
31,49,3
32,0,3
32,49,3
33,0,3
33,49,2
34,0,2
34,49,3
35,0,3
35,49,4
36,0,2
36,49,2
37,0,3
37,49,1
38,0,3
38,49,3
39,0,3
39,49,3
40,0,2
40,49,2
41,0,2
41,49,3
42,0,3
42,49,2
43,0,3
43,49,2
44,0,3
44,49,3
45,0,2
45,49,4
46,0,3
46,49,2
47,0,3
47,49,2
48,0,3
48,49,2
49,0,3
